"Notes","County of Residence","County of Residence Code","Year","Year Code",Births,Average Birth Weight (grams)
,"Baldwin County, AL","01003","2016","2016",2247,3287.43
,"Baldwin County, AL","01003","2017","2017",2322,3286.81
,"Baldwin County, AL","01003","2018","2018",2290,3258.78
,"Baldwin County, AL","01003","2019","2019",2329,3275.30
,"Baldwin County, AL","01003","2020","2020",2292,3241.42
,"Baldwin County, AL","01003","2021","2021",2501,3238.37
,"Baldwin County, AL","01003","2022","2022",2533,3230.56
,"Baldwin County, AL","01003","2023","2023",2486,3252.19
,"Baldwin County, AL","01003","2024","2024",2745,3241.37
,"Calhoun County, AL","01015","2016","2016",1357,3186.59
,"Calhoun County, AL","01015","2017","2017",1338,3194.95
,"Calhoun County, AL","01015","2018","2018",1265,3168.14
,"Calhoun County, AL","01015","2019","2019",1383,3196.94
,"Calhoun County, AL","01015","2020","2020",1262,3210.95
,"Calhoun County, AL","01015","2021","2021",1328,3212.25
,"Calhoun County, AL","01015","2022","2022",1344,3193.24
,"Calhoun County, AL","01015","2023","2023",1258,3227.43
,"Calhoun County, AL","01015","2024","2024",1256,3209.64
,"Etowah County, AL","01055","2016","2016",1214,3239.61
,"Etowah County, AL","01055","2017","2017",1213,3228.29
,"Etowah County, AL","01055","2018","2018",1191,3190.27
,"Etowah County, AL","01055","2019","2019",1236,3202.56
,"Etowah County, AL","01055","2020","2020",1171,3241.10
,"Etowah County, AL","01055","2021","2021",1138,3234.13
,"Etowah County, AL","01055","2022","2022",1174,3221.64
,"Etowah County, AL","01055","2023","2023",1163,3238.84
,"Etowah County, AL","01055","2024","2024",1224,3214.18
,"Houston County, AL","01069","2016","2016",1333,3181.58
,"Houston County, AL","01069","2017","2017",1295,3205.30
,"Houston County, AL","01069","2018","2018",1368,3206.84
,"Houston County, AL","01069","2019","2019",1336,3184.65
,"Houston County, AL","01069","2020","2020",1337,3170.06
,"Houston County, AL","01069","2021","2021",1328,3195.53
,"Houston County, AL","01069","2022","2022",1258,3184.00
,"Houston County, AL","01069","2023","2023",1278,3156.25
,"Houston County, AL","01069","2024","2024",1250,3205.22
,"Jefferson County, AL","01073","2016","2016",8655,3174.79
,"Jefferson County, AL","01073","2017","2017",8706,3150.12
,"Jefferson County, AL","01073","2018","2018",8437,3161.29
,"Jefferson County, AL","01073","2019","2019",8481,3173.64
,"Jefferson County, AL","01073","2020","2020",7929,3157.45
,"Jefferson County, AL","01073","2021","2021",8048,3158.42
,"Jefferson County, AL","01073","2022","2022",7751,3154.77
,"Jefferson County, AL","01073","2023","2023",7866,3136.35
,"Jefferson County, AL","01073","2024","2024",7885,3161.54
,"Lee County, AL","01081","2016","2016",1898,3230.87
,"Lee County, AL","01081","2017","2017",1898,3230.81
,"Lee County, AL","01081","2018","2018",1810,3218.48
,"Lee County, AL","01081","2019","2019",1879,3204.12
,"Lee County, AL","01081","2020","2020",1842,3191.39
,"Lee County, AL","01081","2021","2021",1903,3199.91
,"Lee County, AL","01081","2022","2022",1977,3194.20
,"Lee County, AL","01081","2023","2023",1985,3187.54
,"Lee County, AL","01081","2024","2024",1994,3206.22
,"Madison County, AL","01089","2016","2016",4228,3210.99
,"Madison County, AL","01089","2017","2017",4253,3214.86
,"Madison County, AL","01089","2018","2018",4262,3180.03
,"Madison County, AL","01089","2019","2019",4260,3176.59
,"Madison County, AL","01089","2020","2020",4337,3185.29
,"Madison County, AL","01089","2021","2021",4326,3200.03
,"Madison County, AL","01089","2022","2022",4514,3213.66
,"Madison County, AL","01089","2023","2023",4559,3195.55
,"Madison County, AL","01089","2024","2024",4635,3210.00
,"Mobile County, AL","01097","2016","2016",5504,3144.94
,"Mobile County, AL","01097","2017","2017",5607,3158.62
,"Mobile County, AL","01097","2018","2018",5549,3129.31
,"Mobile County, AL","01097","2019","2019",5372,3120.02
,"Mobile County, AL","01097","2020","2020",5302,3126.21
,"Mobile County, AL","01097","2021","2021",5097,3129.23
,"Mobile County, AL","01097","2022","2022",5001,3116.56
,"Mobile County, AL","01097","2023","2023",5054,3131.86
,"Mobile County, AL","01097","2024","2024",4780,3146.44
,"Montgomery County, AL","01101","2016","2016",3139,3083.67
,"Montgomery County, AL","01101","2017","2017",3172,3099.50
,"Montgomery County, AL","01101","2018","2018",3139,3083.55
,"Montgomery County, AL","01101","2019","2019",3167,3076.37
,"Montgomery County, AL","01101","2020","2020",3138,3091.52
,"Montgomery County, AL","01101","2021","2021",3058,3063.45
,"Montgomery County, AL","01101","2022","2022",2937,3079.45
,"Montgomery County, AL","01101","2023","2023",2810,3072.48
,"Montgomery County, AL","01101","2024","2024",2757,3078.71
,"Morgan County, AL","01103","2016","2016",1470,3224.74
,"Morgan County, AL","01103","2017","2017",1435,3201.54
,"Morgan County, AL","01103","2018","2018",1432,3205.34
,"Morgan County, AL","01103","2019","2019",1435,3205.49
,"Morgan County, AL","01103","2020","2020",1464,3216.96
,"Morgan County, AL","01103","2021","2021",1402,3191.50
